Actor,Recip,total.groom.secs,Actor.mins,Recip.mins,dyad.obs.secs,groom.rate
alb,vin,1821,1129,1123,135120,0.013476909
alb,ros,1083,1129,1170,137940,0.00785124
alb,oli,834,1129,1133,135720,0.006145004
alb,qui,803,1129,1163,137520,0.005839151
alb,sal,748,1129,1186,138900,0.005385169
alb,eri,427,1129,1183,138720,0.003078143
alb,kim,403,1129,1123,135120,0.002982534
alb,yet,361,1129,1121,135000,0.002674074
alb,tam,343,1129,1177,138360,0.00247904
alb,uli,280,1129,1118,134820,0.002076843
alb,dan,265,1129,1154,136980,0.001934589
alb,jul,266,1129,1184,138780,0.001916703
alb,jan,170,1129,1155,137040,0.001240514
alb,zar,172,1129,1233,141720,0.001213661
alb,har,162,1129,1180,138540,0.001169337
alb,lul,130,1129,1095,133440,0.000974221
alb,pen,130,1129,1122,135060,0.000962535
alb,nin,47,1129,1200,139740,0.000336339
dan,tam,351,1154,1177,139860,0.002509653
dan,gre,142,1154,1121,136500,0.001040293
dan,fra,138,1154,1218,142320,0.000969646
dan,alb,129,1154,1129,136980,0.000941743
dan,yet,79,1154,1121,136500,0.000578755
dan,qui,48,1154,1163,139020,0.000345274
dan,isa,46,1154,1110,135840,0.000338634
dan,jan,40,1154,1155,138540,0.000288725
dan,jul,10,1154,1184,140280,7.13E-05
dop,ros,376,1100,1170,136200,0.002760646
dop,pen,280,1100,1122,133320,0.00210021
dop,xen,183,1100,1119,133140,0.001374493
dop,kim,156,1100,1123,133380,0.001169591
dop,sal,117,1100,1186,137160,0.000853018
dop,qui,114,1100,1163,135780,0.000839593
dop,lul,58,1100,1095,131700,0.000440395
dop,dan,18,1100,1154,135240,0.000133097
dop,nin,10,1100,1200,138000,7.25E-05
eri,alb,308,1183,1129,138720,0.0022203
eri,nin,202,1183,1200,142980,0.001412785
eri,vin,54,1183,1123,138360,0.000390286
eri,jan,27,1183,1155,140280,0.000192472
eri,zar,6,1183,1233,144960,4.14E-05
fra,xen,147,1218,1119,140220,0.001048353
fra,dan,101,1218,1154,142320,0.000709668
fra,nin,93,1218,1200,145080,0.000641026
fra,vin,89,1218,1123,140460,0.000633632
fra,alb,22,1218,1129,140820,0.000156228
fra,jan,17,1218,1155,142380,0.000119399
gem,zar,2716,1097,1233,139800,0.019427754
gem,jul,811,1097,1184,136860,0.005925764
gem,eri,792,1097,1183,136800,0.005789474
gem,xen,449,1097,1119,132960,0.003376955
gem,tam,311,1097,1177,136440,0.00227939
gem,fra,208,1097,1218,138900,0.00149748
gem,sal,158,1097,1186,136980,0.001153453
gem,pen,72,1097,1122,133140,0.000540784
gem,nin,63,1097,1200,137820,0.000457118
gem,ros,44,1097,1170,136020,0.000323482
gem,urs,29,1097,1104,132060,0.000219597
gem,lul,10,1097,1095,131520,7.60E-05
gre,vin,490,1121,1123,134640,0.003639335
gre,nin,231,1121,1200,139260,0.001658768
gre,oli,185,1121,1133,135240,0.001367938
gre,uli,176,1121,1118,134340,0.001310109
gre,har,157,1121,1180,138060,0.001137187
gre,dan,109,1121,1154,136500,0.000798535
gre,eri,93,1121,1183,138240,0.000672743
gre,jan,72,1121,1155,136560,0.000527241
gre,isa,51,1121,1110,133860,0.000380995
gre,lul,40,1121,1095,132960,0.000300842
gre,qui,28,1121,1163,137040,0.00020432
gre,sal,8,1121,1186,138420,5.78E-05
har,nin,944,1180,1200,142800,0.006610644
har,tam,434,1180,1177,141420,0.003068873
har,alb,418,1180,1129,138540,0.003017179
har,zar,176,1180,1233,144780,0.001215638
har,yet,138,1180,1121,138060,0.000999565
har,vin,130,1180,1123,138180,0.000940802
isa,nin,1193,1110,1200,138600,0.008607504
isa,qui,662,1110,1163,136380,0.004854084
isa,vin,533,1110,1123,133980,0.003978206
isa,urs,528,1110,1104,132840,0.003974706
isa,gre,498,1110,1121,133860,0.003720305
isa,tam,496,1110,1177,137220,0.003614633
isa,xen,377,1110,1119,133740,0.002818902
isa,fra,321,1110,1218,139680,0.00229811
isa,pen,300,1110,1122,133920,0.002240143
isa,lul,200,1110,1095,132300,0.001511716
isa,oli,202,1110,1133,134580,0.001500966
isa,yet,111,1110,1121,133860,0.000829225
isa,jul,48,1110,1184,137640,0.000348736
isa,ros,34,1110,1170,136800,0.000248538
isa,eri,31,1110,1183,137580,0.000225323
isa,sal,25,1110,1186,137760,0.000181475
jan,lul,563,1155,1095,135000,0.00417037
jan,sal,522,1155,1186,140460,0.003716361
jan,pen,222,1155,1122,136620,0.001624945
jan,tam,118,1155,1177,139920,0.000843339
jan,kim,100,1155,1123,136680,0.000731636
jan,dop,94,1155,1100,135300,0.000694752
jan,ros,81,1155,1170,139500,0.000580645
jan,xen,66,1155,1119,136440,0.000483729
jan,eri,39,1155,1183,140280,0.000278015
jul,gem,822,1184,1097,136860,0.006006138
jul,sal,656,1184,1186,142200,0.004613221
jul,ros,517,1184,1170,141240,0.003660436
jul,urs,279,1184,1104,137280,0.002032343
jul,tam,207,1184,1177,141660,0.001461245
jul,zar,163,1184,1233,145020,0.001123983
jul,alb,107,1184,1129,138780,0.000771004
jul,pen,60,1184,1122,138360,0.000433651
jul,vin,39,1184,1123,138420,0.000281751
jul,nin,38,1184,1200,143040,0.00026566
jul,oli,26,1184,1133,139020,0.000187023
kim,sal,406,1123,1186,138540,0.002930562
kim,qui,196,1123,1163,137160,0.001428988
kim,alb,183,1123,1129,135120,0.001354352
kim,lul,162,1123,1095,133080,0.001217313
kim,zar,165,1123,1233,141360,0.001167233
kim,tam,142,1123,1177,138000,0.001028986
kim,xen,112,1123,1119,134520,0.00083259
kim,jan,101,1123,1155,136680,0.000738952
kim,nin,50,1123,1200,139380,0.000358732
kim,uli,34,1123,1118,134460,0.000252863
kim,ros,19,1123,1170,137580,0.000138101
lul,jan,671,1095,1155,135000,0.00497037
lul,zar,464,1095,1233,139680,0.003321879
lul,isa,334,1095,1110,132300,0.002524565
lul,nin,300,1095,1200,137700,0.002178649
lul,kim,183,1095,1123,133080,0.001375113
lul,tam,185,1095,1177,136320,0.001357101
lul,ros,143,1095,1170,135900,0.001052244
nin,qui,691,1200,1163,141780,0.004873748
nin,lul,645,1200,1095,137700,0.004684096
nin,gre,631,1200,1121,139260,0.004531093
nin,vin,629,1200,1123,139380,0.004512843
nin,har,622,1200,1180,142800,0.004355742
nin,isa,580,1200,1110,138600,0.004184704
nin,oli,561,1200,1133,139980,0.004007715
nin,eri,522,1200,1183,142980,0.00365086
nin,jul,379,1200,1184,143040,0.002649609
nin,ros,250,1200,1170,142200,0.001758087
nin,fra,248,1200,1218,145080,0.001709402
nin,dop,163,1200,1100,138000,0.001181159
nin,zar,67,1200,1233,145980,0.000458967
nin,tam,60,1200,1177,142620,0.000420698
nin,alb,58,1200,1129,139740,0.000415057
nin,urs,7,1200,1104,138240,5.06E-05
oli,alb,422,1133,1129,135720,0.003109343
oli,tam,192,1133,1177,138600,0.001385281
oli,jul,122,1133,1184,139020,0.000877572
oli,sal,109,1133,1186,139140,0.000783384
pen,dop,570,1122,1100,133320,0.004275428
pen,tam,399,1122,1177,137940,0.002892562
pen,sal,322,1122,1186,138480,0.002325246
pen,xen,279,1122,1119,134460,0.002074967
pen,zar,176,1122,1233,141300,0.001245577
pen,jan,168,1122,1155,136620,0.001229688
pen,alb,149,1122,1129,135060,0.001103213
pen,eri,141,1122,1183,138300,0.001019523
pen,vin,127,1122,1123,134700,0.000942836
pen,gem,76,1122,1097,133140,0.000570828
pen,jul,61,1122,1184,138360,0.000440879
pen,lul,55,1122,1095,133020,0.000413472
qui,alb,783,1163,1129,137520,0.005693717
qui,har,510,1163,1180,140580,0.003627828
qui,eri,481,1163,1183,140760,0.003417164
qui,vin,450,1163,1123,137160,0.00328084
qui,tam,392,1163,1177,140400,0.002792023
qui,kim,339,1163,1123,137160,0.002471566
qui,isa,278,1163,1110,136380,0.002038422
qui,oli,195,1163,1133,137760,0.001415505
qui,sal,142,1163,1186,140940,0.001007521
qui,nin,139,1163,1200,141780,0.000980392
qui,ros,121,1163,1170,139980,0.000864409
qui,dop,107,1163,1100,135780,0.000788039
qui,yet,107,1163,1121,137040,0.000780794
qui,fra,45,1163,1218,142860,0.000314994
ros,sal,1757,1170,1186,141360,0.012429259
ros,alb,941,1170,1129,137940,0.006821807
ros,jul,869,1170,1184,141240,0.006152648
ros,lul,629,1170,1095,135900,0.004628403
ros,eri,579,1170,1183,141180,0.004101147
ros,tam,556,1170,1177,140820,0.003948303
ros,zar,459,1170,1233,144180,0.003183521
ros,nin,363,1170,1200,142200,0.002552743
ros,kim,236,1170,1123,137580,0.001715366
