ID,Sex,Elo.May,Elo.Sep,Elo.Dec
alb,F,519,295,411
dan,M,1014,1316,1259
dop,F,397,571,274
eri,M,1867,1927,1828
fra,M,1330,928,1159
gem,F,857,1002,1075
gre,M,829,1164,904
har,M,1467,1553,1585
isa,F,968,1005,973
jan,F,481,553,556
jul,F,755,795,720
kim,F,901,846,676
lul,F,832,657,541
nin,F,625,668,382
oli,M,887,986,1106
pen,F,913,826,844
qui,M,705,739,703
ros,F,862,850,866
sal,F,1349,1232,1252
tam,F,1119,688,1070
uli,M,1077,1096,1101
urs,F,881,1050,1089
vin,M,1027,1007,1265
xen,F,1251,1317,1484
yet,M,1039,1092,1155
zar,F,1507,1552,1509
